user_id,Pickup_Location,rental_date,duration,return_date,car_id
0,Visakhapatnam,26-09-2019,3,29-09-2019,9818
0,Shillong,10-10-2019,3,13-10-2019,6755
0,Ranchi,14-11-2019,6,20-11-2019,331
0,Raigarh,12-12-2019,3,15-12-2019,4288
0,Kolkata,26-12-2019,5,31-12-2019,6287
0,Amritsar,09-01-2020,2,11-01-2020,6972
0,Pune,27-02-2020,1,28-02-2020,1418
0,Mumbai,16-04-2020,5,21-04-2020,10740
0,Mumbai,07-05-2020,2,09-05-2020,10641
0,Raipur,14-05-2020,5,19-05-2020,2619
0,Raigarh,21-05-2020,3,24-05-2020,4306
0,Srinagar,18-06-2020,5,23-06-2020,5396
0,Delhi NCR,25-06-2020,6,01-07-2020,5548
0,Raipur,16-07-2020,1,17-07-2020,2753
0,Ludhiana,24-07-2020,4,28-07-2020,4144
0,Raigarh,06-08-2020,2,08-08-2020,4358
0,Raipur,17-09-2020,1,18-09-2020,2703
0,Indore,01-10-2020,1,02-10-2020,10026
0,Shillong,08-10-2020,4,12-10-2020,6768
0,Khowai,15-10-2020,7,22-10-2020,1091
0,Visakhapatnam,29-10-2020,5,03-11-2020,9901
0,Indore,19-11-2020,3,22-11-2020,10075
0,Gwalior,24-12-2020,5,29-12-2020,1837
0,Ahmedabad,18-02-2021,6,24-02-2021,786
0,Prayagraj,15-04-2021,4,19-04-2021,3757
0,Dhubri,21-05-2021,1,22-05-2021,6129
0,Ahmedabad,27-05-2021,5,01-06-2021,681
1,Chandigarh,03-10-2019,5,08-10-2019,9165
1,Puri,17-10-2019,4,21-10-2019,4710
2,Kullu-Manali,31-10-2019,2,02-11-2019,7489
2,Amritsar,07-11-2019,7,14-11-2019,6891
2,Mysuru,05-12-2019,7,12-12-2019,10246
2,Visakhapatnam,26-12-2019,1,27-12-2019,9819
2,Khowai,02-01-2020,4,06-01-2020,1111
2,Surat,09-01-2020,7,16-01-2020,8578
2,Srinagar,23-01-2020,1,24-01-2020,5213
2,Shimla,20-02-2020,3,23-02-2020,9372
2,Amritsar,27-02-2020,6,04-03-2020,6966
2,Guwahati,12-03-2020,5,17-03-2020,2256
2,Mumbai,02-04-2020,2,04-04-2020,10727
2,Puducherry,16-04-2020,4,20-04-2020,2834
2,Varanasi,23-04-2020,2,25-04-2020,5952
2,Kullu-Manali,02-07-2020,2,04-07-2020,7541
2,Mysuru,16-07-2020,1,17-07-2020,10271
2,Hyderabad,15-10-2020,5,20-10-2020,814
2,Khowai,05-11-2020,2,07-11-2020,1195
2,Mopa,27-11-2020,1,28-11-2020,3490
2,Srinagar,24-12-2020,2,26-12-2020,5379
2,Diu,28-01-2021,3,31-01-2021,8936
2,Bengaluru,22-04-2021,6,28-04-2021,2156
2,Gangtok,13-05-2021,4,17-05-2021,6552
2,Udaipur,01-07-2021,4,05-07-2021,8639
2,Kota,08-07-2021,6,14-07-2021,8273
2,Jaipur,15-07-2021,4,19-07-2021,7294
2,Thiruvananthapuram,05-08-2021,5,10-08-2021,8100
2,Bhubaneswar,09-09-2021,6,15-09-2021,7809
2,Ranchi,07-11-2021,1,08-11-2021,310
2,Dabolim,04-11-2021,4,08-11-2021,431
2,Raigarh,16-12-2021,4,20-12-2021,4349
2,Vadodara,30-12-2021,7,06-01-2022,3937
2,Ludhiana,06-01-2022,3,09-01-2022,4185
2,Varanasi,10-02-2022,1,11-02-2022,5949
2,Mumbai,24-02-2022,3,27-02-2022,10674
2,Ayodhya,17-03-2022,1,18-03-2022,7794
2,Guwahati,24-03-2022,3,27-03-2022,2283
3,Dehradun,14-11-2019,3,17-11-2019,5066
3,Varanasi,28-11-2019,1,29-11-2019,5982
