travelCode,userCode,departureDate,arrivalDate
b477ea0f-85c2-42f2-94b8-3d6d73b5f274,16cef992-89aa-41e0-b918-b5fb1b0727d8,2025-01-04 12:39:21,2025-01-04 23:39:21
72ba047f-7951-4994-b0c7-7660a540605d,3bde4faa-eb96-4523-88e0-11def4cd454c,2025-01-08 12:03:18,2025-01-08 14:03:18
11323ea6-1a64-493c-a459-37929190cae5,31993869-a7ea-4403-a237-342c02e028e5,2025-01-07 18:42:11,2025-01-07 21:42:11
54f4a97f-3548-49fe-83c3-3c2692e52a2b,9b1626aa-2c43-4658-8780-fed430ea4a0c,2025-01-04 00:24:05,2025-01-04 05:24:05
4b792a14-fc32-47a2-8310-bc2951a1ec28,cc29e100-150d-42a1-9fb4-43c79aeeec9c,2025-01-21 01:24:17,2025-01-21 11:24:17
8ba2296d-8c97-473c-9726-2c324b14553a,53054eae-546b-46ed-be25-98f3476a87a1,2025-01-03 19:43:31,2025-01-03 23:43:31
8b7549cd-49c4-4d13-b9f2-401ad3c31a0b,1950d2f6-8f4c-470f-a574-f76adbbfc17b,2025-01-07 19:50:53,2025-01-08 01:50:53
094df21e-6f8a-489f-b3fa-2354cbe396fe,85c076a2-5d68-442c-ab30-5bb84fe345bf,2025-01-13 21:41:04,2025-01-14 05:41:04
3b815f1d-c042-4892-8525-66c33422466d,3b847c4f-de88-43e5-8bcd-10ca3739c016,2025-01-19 03:12:07,2025-01-19 12:12:07
e582e756-0294-440e-b80c-23b47c26be81,bacaa253-b6ce-4ae5-b391-7f4fafe0cf2b,2025-01-02 10:43:38,2025-01-02 12:43:38
b7247ad2-fa0a-4294-ba6d-e910a1c6713d,37fa2131-cd66-465c-98c1-ed812746158e,2025-01-09 12:25:49,2025-01-09 16:25:49
240005a4-0500-4d22-9194-8142a75ae647,a03d37f9-0bfa-4da9-b43b-bfbfdb9fafae,2025-01-05 13:43:01,2025-01-05 21:43:01
80b1eba7-a7d2-471e-8a80-90fa4c3808d5,27114b97-166f-4926-90c7-7f1ed1292b1f,2025-01-18 07:36:23,2025-01-18 16:36:23
3dc09bd0-de12-48c1-94ab-f61c9e23b483,bdc455e7-5226-4ec9-863a-3e591fb20eff,2025-01-14 08:11:21,2025-01-14 17:11:21
b8d42f30-2b3d-4b5d-9879-1f2e604e20ce,9915397c-b2c0-4bf9-a668-9c4c24924ccb,2025-01-23 20:55:30,2025-01-24 01:55:30
e5c9638f-9a25-48cd-b729-c16781c33806,c1c12e86-e0f3-494e-8ec0-c228847c66d0,2025-01-10 14:51:28,2025-01-10 22:51:28
a5bbc33d-92c2-4ed7-9aa2-0390cab971af,4657a222-f885-479a-9acf-4d7dc38404b1,2025-01-21 18:10:17,2025-01-22 00:10:17
30745fc1-b732-4c05-b4e9-552c2359cf4e,0fb786ad-09bd-4d8d-b5bc-737b4f085530,2024-12-31 23:57:44,2025-01-01 02:57:44
3d6b5957-699a-4f01-b347-9aca7132f1eb,eed0f104-70b6-421f-9ca8-90055ddf1ce0,2025-01-15 05:10:41,2025-01-15 09:10:41
f20342ac-2f95-4441-bc91-63d61695fa7e,2d5f58ff-170e-4524-9868-e0249bd9d4a0,2025-01-30 02:16:48,2025-01-30 04:16:48
8d0137ae-e225-4e8a-8b16-54aea1003cf7,3cfbe1fc-94d0-410f-b105-b78e7d7815ba,2025-01-03 06:43:34,2025-01-03 16:43:34
bce61c86-ea80-48de-86f1-b387183eba68,3998acc1-f200-434b-a91e-2be409c24878,2025-01-18 02:48:09,2025-01-18 08:48:09
2ce731ab-1d61-4bce-ab5c-a4265b769252,d7e8ca63-57bc-4ed9-951a-016a28146c0a,2025-01-12 15:02:20,2025-01-12 16:02:20
36461e99-9b5e-499b-b3bd-336a59f28924,01cdcad0-6029-4203-9bf0-f241d2c1bff8,2025-01-21 10:08:54,2025-01-21 21:08:54
f0aaf5a7-50da-4adf-bb48-c6e8e9b051b5,785aadca-75a1-4070-8332-ada205a7c01c,2025-01-26 03:53:57,2025-01-26 12:53:57
7a54859f-2af8-4274-90a8-302c83c8d6da,89eb3f4d-e2b9-489c-9bab-b24416ca27a5,2025-01-10 12:31:36,2025-01-10 22:31:36
