car_id,user_id,car_type,pickup_location,dropoff_location,pickup_time,dropoff_time,booking_date
6493ebd7-7874-4737-a0d1-434782b5a781,9127729e-5990-4042-a691-fd5c6ec5746d,Hatchback,Williamschester,Williamschester,26-02-2025 14:34,27-02-2025 13:34,29-12-2024 07:14
e4cd23ca-942f-41a1-b3dc-5465d7898aa6,31f78ad0-34a8-4ab0-9afd-66592ed2b09d,Hatchback,West Angelamouth,West Angelamouth,24-01-2025 21:34,25-01-2025 15:34,17-12-2024 01:05
a12e7ce5-a1cc-449d-8131-5257dc357320,0cb0c382-dd27-4d72-8e01-3d430e0529e4,Sedan,South Mariaport,South Mariaport,21-02-2025 11:19,22-02-2025 00:19,27-12-2024 13:59
03f1298b-7f82-4027-aa85-17c83b91cef6,de6bd487-095c-4884-a86d-e643f4298c35,Van,Lake Jeffrey,Lake Jeffrey,21-02-2025 09:21,21-02-2025 12:21,23-12-2024 18:06
33e55065-cbf9-4ac9-a7ff-239191b75720,171d297a-2453-4692-a3f7-39961d81a553,Sedan,Brownburgh,Brownburgh,06-02-2025 14:05,07-02-2025 13:05,13-01-2025 04:52
a570b0bd-5556-4b90-8b58-b503647d5f07,9042da2c-1326-4ab8-9040-3623c43e4ba6,Sedan,Candicehaven,Candicehaven,20-02-2025 06:25,20-02-2025 07:25,20-01-2025 04:19
c2ec8e01-fec2-421e-b72b-60e2c90a2a5b,d66842b5-ad55-4cba-a784-fdb355007b7b,Hatchback,Port Jonathanfort,Port Jonathanfort,16-02-2025 15:59,17-02-2025 03:59,23-12-2024 09:05
1c832b1a-bc0b-47df-8261-d9fc9bf4ac91,08844630-9677-4f7c-a89a-d5daa4a68c03,Hatchback,Lopezbury,Lopezbury,27-01-2025 11:37,28-01-2025 08:37,03-12-2024 06:07
35dd8ae8-0c7e-4189-b1fd-453dc42a09de,dea68be3-40da-4432-a2df-36b3a01c33e5,Hatchback,New Rodney,New Rodney,30-01-2025 09:03,30-01-2025 13:03,26-01-2025 02:51
ef35cb21-c393-4b7d-9057-781b4eb8d0b9,10ef99c8-161f-4ab8-92db-08e73e40e344,SUV,Adamston,Adamston,16-02-2025 15:49,17-02-2025 07:49,27-01-2025 03:36
63744b7d-a5d7-48b5-941d-9d141c939cb8,c8120888-283a-44d0-9d74-c61ec890679c,Van,South Ginaborough,South Ginaborough,17-01-2025 05:29,17-01-2025 16:29,23-12-2024 08:26
ec4f1568-882c-4aa4-bcd8-f1901e0ffabb,38721bbc-32c4-479e-a947-61755aa372ea,SUV,Wongberg,Wongberg,03-01-2025 03:51,03-01-2025 14:51,06-01-2025 08:02
e8679e08-7168-425f-8556-de29fe042c5d,aa60dc99-9bf7-4f34-a6df-32711d89687b,Hatchback,Port Darrylview,Port Darrylview,01-01-2025 14:39,01-01-2025 16:39,11-12-2024 03:12
41b498d1-2ce0-4a01-b81f-50f72f27d099,689d7be9-674d-4b4b-b8f6-0a0e38033769,Sedan,Campbellstad,Campbellstad,02-02-2025 02:28,02-02-2025 20:28,09-12-2024 09:47
d008545c-647d-4526-a014-a7d08dc3786d,3b0d23dd-a983-41bc-8758-5a23e8448356,Hatchback,Davidburgh,Davidburgh,28-02-2025 07:03,28-02-2025 21:03,30-01-2025 00:57
b45bf94c-132f-4bfc-bc45-a4e865aee244,db615486-59a0-49cd-9799-0c3a2eedefff,Van,Jenniferland,Jenniferland,14-02-2025 02:05,15-02-2025 00:05,28-01-2025 06:46
82487681-1510-41d3-8307-f9f2e52f8d3e,cc34dadb-1f9a-449f-a31c-cf9de0f386c5,Van,Kellyton,Kellyton,31-01-2025 10:09,31-01-2025 18:09,22-01-2025 04:02
113cfb78-fbe2-474d-9ac3-95a85cf525f5,6750147c-b32e-4a0f-8411-874b022a4b17,Hatchback,Beltranberg,Beltranberg,18-02-2025 11:33,18-02-2025 20:33,01-01-2025 23:16
